LR_00025,LR_0005,LR_00075,LR_001
-28.52967769,250.4498393,65.39789009,117.5107803
-44.36027527,100.9505768,101.8901087,128.5278448
56.77312977,212.8950856,190.7645722,257.0276642
4.85770925,234.0395101,101.3192097,-5.644317599
-15.55160014,165.9927521,50.44424821,178.2518762
-57.51782417,269.3224131,188.6793747,230.7439728
36.71695263,240.6581472,83.76446892,34.97848685
37.702638,237.5364024,184.6171722,163.4694424
29.4193751,236.7167969,150.4454486,128.9810276
55.18133035,265.8395844,71.56646031,170.4513868
15.05754852,250.7548294,243.2427012,124.4256592
38.61165747,103.9338017,148.3317941,122.3228048
82.18271797,229.4210281,43.40943909,158.8947045
62.28225868,100.3481102,229.3596242,161.6635203
-63.22424442,233.7302246,166.4309896,83.49554061
60.76539802,258.1918335,163.1185829,180.2478339
145.063783,259.7207794,197.5912615,45.85112668
-23.46252823,179.4542236,115.0244242,-6.84065628
87.81735358,242.0655747,182.8871981,-9.750498292
121.1080144,166.2297306,72.18758391,-63.25780362
107.3960482,255.7262497,4.386973067,245.9454651
148.0219313,229.0688172,161.5028008,188.909551
144.1177826,206.490448,219.5050964,183.1918996
70.94749578,251.4461746,66.4858856,72.12979318
210.1767171,190.1067429,175.4579207,255.4645233
199.8627726,-107.1219178,35.46244049,157.549689
149.353447,222.4969788,164.6513151,155.4944751
127.7775472,230.1246796,115.2439169,250.12087
42.00957043,213.6031952,157.0224253,49.08934624
107.3528519,92.46053078,253.3927205,223.2859293
31.66583187,121.5159607,106.7019742,263.9275716
-64.0642306,148.4346619,75.43446096,236.6966654
106.557429,260.1827393,145.7928238,239.3997243
78.80782065,248.2112961,209.4892502,98.83827464
12.77817663,213.1491394,100.4777794,238.5516815
89.34287514,90.77614975,19.6749344,-32.16181437
32.12854728,124.1842647,-50.4756241,254.0055695
-55.76690292,-2.691223115,-236.0817986,261.2022349
38.64747239,-12.63745189,215.8910294,249.2032827
165.1389211,229.9980393,13.33589935,247.0509949
39.61018246,244.5329514,246.6621704,232.4763489
153.5957064,236.3280182,115.5832692,169.3780631
46.89752323,258.0389939,-68.77466774,277.4584045
165.8034999,135.9872274,259.0309982,227.0149384
34.26778921,234.2435837,194.1392594,-4.39236766
172.9752509,254.777565,241.2614594,173.4104151
59.66246795,37.6981354,-7.09160662,110.155522
140.2450663,227.7820511,248.404152,28.29787188
217.2798868,239.0690918,256.3396607,205.0791423
124.5054747,238.581543,208.2191544,131.1971944
187.0870527,283.1685944,210.561264,165.4278132
58.91188208,229.8157502,101.6705284,76.20570371
129.309789,254.7632676,263.8914871,56.9654859
148.3956184,271.8801727,-38.08700752,-59.96763721
151.8574715,282.615799,134.3047705,137.8577347
176.3005015,160.2098866,-21.9649582,180.4990031
245.2311452,115.7885614,259.5848618,270.1938426
140.6815173,260.8873978,273.9848328,113.8472039
150.35849,257.3739777,155.4683266,123.4036528
237.8327637,28.93486025,142.999237,238.8797658
234.576945,251.4479141,-71.7464981,93.89933395
209.6748301,258.2373047,236.1908036,92.5878652
169.397728,237.3863983,259.9802933,239.7243907
215.4023005,246.0480042,199.9545823,170.8683593
138.3797251,218.7666474,14.93079019,121.1625369
256.9540507,246.2533951,268.8022919,242.0152486
185.9495188,268.7642594,136.104496,165.9564553
127.7507642,192.8696518,247.7432404,131.3246104
195.1855011,238.1568985,218.7288208,103.0924022
