Small_Model_Run_1,Small_Model_Run_2,Small_Model_Run_3,Mid_Model_Run_1,Mid_Model_Run_2,Mid_Model_Run_3,Large_Model_Run_1,Large_Model_Run_2,Large_Model_Run_3
-82.50285339,-91.92020416,-92.66433716,-73.96141052,-71.0708847,-66.93063354,-83.1434021,-75.72541046,-60.88642502
-82.24647522,-93.99666595,-90.64302063,-74.02593231,-70.65537262,-67.67443085,-83.59278107,-75.86800385,-61.0255127
-83.04489899,-95.03634644,-90.40297699,-73.43840027,-71.77809143,-67.0639267,-83.3245163,-75.45448303,-62.4192009
-82.4644165,-95.90164185,-90.17345428,-74.52098846,-71.89398956,-66.16269684,-82.90696716,-75.08091736,-63.06633759
-83.6536026,-95.62286377,-94.00711823,-75.76207733,-71.71200562,-68.00593567,-80.7562561,-74.18051147,-62.15435791
-83.172966,-94.76499176,-93.36578369,-74.39630127,-72.30267334,-67.10329437,-81.94409943,-74.81152344,-61.31548691
-82.22392273,-94.30443573,-93.39341736,-73.70465851,-72.50046539,-68.63529205,-81.60773468,-72.01306915,-59.07566833
-82.40335083,-94.17636871,-92.3567276,-73.46544647,-73.37428284,-68.36008453,-81.65333557,-71.05226135,-57.74694443
-81.75268555,-94.9637146,-93.82460022,-72.49754333,-73.37582397,-70.93261719,-79.79586029,-70.18888855,-57.46797562
-82.41253662,-95.33065796,-93.13375854,-72.08747864,-72.81452942,-72.38079071,-80.81189728,-69.4230957,-57.2963829
-83.20293427,-94.62200165,-93.61103058,-72.39254761,-72.7694931,-72.29108429,-80.08416748,-70.68080902,-58.93351746
-85.37774658,-95.66830444,-94.30445862,-72.29247284,-72.40736389,-71.70861053,-79.05052948,-70.91973877,-58.94955063
-86.42008209,-94.95152283,-95.96212006,-70.75408173,-74.43838501,-71.20301056,-78.59436798,-70.52199554,-57.10918045
-86.572258,-93.66242981,-96.909729,-71.43437958,-75.22580719,-71.33764648,-79.43306732,-70.47704315,-56.37614059
-88.31114197,-93.71098328,-97.15827942,-70.35112,-74.98197174,-69.80974579,-79.97782135,-70.08302307,-56.49845886
-90.05051422,-93.98675537,-98.41023254,-69.86897278,-74.53890228,-68.95458221,-78.4981842,-70.04173279,-57.07089615
-89.99281311,-95.10892487,-100.3259811,-69.82888031,-73.82388306,-68.59347534,-79.61943817,-69.21829224,-55.7743187
-90.72992706,-95.01145172,-100.9664459,-67.34862518,-73.86585999,-68.00128174,-80.34109497,-69.14645386,-56.49763489
-91.52858734,-95.47019958,-101.8184662,-67.53274536,-72.45485687,-67.03772736,-79.87314606,-68.13607788,-57.39214325
-91.67021179,-95.1014328,-102.1180191,-65.62154388,-72.4136734,-65.97259521,-77.77701569,-68.15518188,-56.86350632
-92.87901306,-94.25173187,-102.7537994,-65.06941986,-71.96817017,-67.04241943,-77.56199646,-67.43956757,-54.94760513
-92.11438751,-94.77772522,-103.4968796,-64.61713409,-71.78922272,-66.91439056,-76.44335938,-66.43135834,-54.67432785
-91.30344391,-94.34155273,-103.7609482,-64.14505768,-71.4296875,-66.22460175,-73.43695068,-65.10531616,-53.96442032
-90.94076538,-93.7534256,-103.2633362,-64.09449768,-70.68412781,-65.57134247,-72.60131836,-64.98067474,-53.51479721
-91.01735687,-94.5124054,-103.0468369,-64.412323,-70.92749023,-65.64057922,-71.58287048,-62.17396927,-53.62316513
-91.63928223,-94.29701233,-103.0990143,-65.10456848,-70.04238129,-64.47717285,-71.48446655,-62.86470413,-52.78609085
-92.65777588,-93.28451538,-103.7954178,-63.91298676,-70.03411102,-64.415802,-70.33030701,-61.61870956,-51.91354752
-93.62654114,-92.80019379,-104.4445953,-64.49852753,-69.56330109,-61.78534317,-72.21835327,-62.79361725,-50.60961914
-93.45864868,-91.30161285,-104.0578308,-63.66446304,-68.99998474,-59.96495056,-71.31357574,-63.77328491,-47.60044479
-94.0129776,-91.2898941,-103.8058624,-61.87764359,-68.09722137,-58.44855881,-71.08424377,-63.72959518,-45.83127213
-94.23988342,-91.22953796,-104.1068268,-61.40551758,-68.13069153,-59.40587234,-70.08533478,-62.54982376,-44.79112625
-94.32120514,-91.27727509,-104.7279816,-60.81079483,-67.07756805,-60.82437134,-69.19620514,-61.57757187,-44.43601227
-93.87290955,-91.50322723,-104.8503952,-59.41307068,-66.49633026,-58.47743988,-68.63674927,-60.6308136,-42.69132996
-94.37818146,-91.73786926,-104.2026443,-58.79131317,-66.44377136,-56.11930847,-67.27331543,-59.62358475,-40.39999771
-94.2306366,-92.13457489,-104.2757263,-57.41866684,-66.22382355,-53.01118851,-68.81820679,-59.71834946,-39.2277298
-95.00310516,-91.76276398,-103.6843033,-57.41014099,-66.29189301,-49.76959991,-67.9708252,-58.72240448,-38.18089676
-95.51654053,-91.57588196,-102.4930344,-59.73138428,-65.29535675,-45.65342331,-66.17326355,-57.39900589,-35.81412125
-95.71544647,-91.73805237,-100.9173965,-59.41349792,-64.83866882,-43.99094009,-65.13166046,-55.85387039,-33.8957901
-96.36533356,-92.12265015,-100.8965607,-59.22750854,-64.35646057,-43.84871674,-62.76671219,-53.84081268,-31.7710495
-96.18279266,-91.91281128,-100.1248779,-58.81518555,-64.67456818,-43.1604538,-61.165905,-53.33089066,-29.43099213
-96.03475189,-91.55905151,-100.2085342,-58.54131317,-63.88566208,-40.27458572,-60.02473068,-53.04463577,-26.79502678
-95.86382294,-91.71855927,-99.50164032,-58.79247665,-63.84107208,-35.76213455,-58.94327545,-52.5226593,-24.74267197
-94.6614151,-90.91782379,-98.15032196,-60.47941971,-63.33261871,-34.65660858,-57.65352249,-52.06518555,-23.12760353
-94.08580017,-91.06352997,-97.63739777,-60.50180817,-62.71915817,-32.61004257,-55.69072723,-52.02996063,-20.93888474
-94.54746246,-91.12407684,-97.1468811,-60.45895004,-62.06719589,-31.48105812,-54.01357269,-51.69623184,-18.65239906
-92.87438202,-90.67654419,-96.65365601,-59.21002579,-61.24452591,-26.52756119,-52.29460144,-52.79837799,-16.82659721
-92.42633057,-90.45909119,-96.73142242,-58.51068497,-61.13961792,-23.27941895,-50.46219635,-52.76030731,-15.97057915
-92.53233337,-90.15216827,-96.46818542,-58.42995071,-61.04962921,-19.89649391,-48.04636002,-49.79784393,-13.71390915
-92.6384964,-89.40934753,-95.79091644,-59.5256424,-61.40673447,-17.5591507,-46.19677353,-47.31396103,-12.24400902
-92.5158844,-88.67443848,-96.77809906,-59.28725052,-58.32208633,-14.04170895,-43.40939713,-47.6050148,-9.706471443
-92.45498657,-88.93725586,-96.96389008,-58.4919548,-58.09179688,-14.13866615,-40.89265442,-46.26451874,-7.351328373
-90.70797729,-88.79222107,-96.68942261,-58.57965469,-58.23046112,-11.37173939,-39.0249176,-45.79003143,-4.900435925
-89.38549805,-89.57110596,-96.49377441,-58.22615814,-57.87530899,-11.36946583,-37.27383804,-44.28007126,-2.967458487
-89.29647064,-88.7448349,-95.44876862,-57.91820145,-57.46998978,-8.149305344,-34.42937088,-42.07704163,-0.3768484
-88.33327484,-93.19261169,-96.39321136,-57.30996704,-57.98332977,-4.50994873,-32.42786026,-39.66800308,3.119990349
-87.94792938,-93.27550507,-96.33084106,-56.1462326,-56.15915298,-7.354503632,-31.58023643,-38.21590424,6.065391541
-87.09895325,-93.26034546,-96.14467621,-55.84877777,-55.63449097,-7.896445751,-31.06739426,-37.92895126,9.510293007
-83.88045502,-93.42198944,-96.02283478,-55.26731873,-55.0338974,-8.854017258,-31.05151939,-37.69847488,10.87394524
-84.16801453,-92.99703217,-96.16806793,-54.87243652,-55.19286346,-5.543645859,-28.9002037,-35.99204636,13.48894024
-82.97753906,-92.85289764,-96.13720703,-54.54096603,-52.57339859,-6.297480106,-26.56043053,-32.82202911,16.67149734
