batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
-86.86335754,-89.29396057,-101.8147354,-79.71697998,-77.58804321,-94.94125366,-102.2121735,-90.03453064,-110.5421448,-78.68943787,-77.09916687,-80.68995667
-87.0814743,-87.63484955,-101.3813858,-78.38214111,-77.36450958,-92.76972961,-101.2899551,-90.59712982,-110.3333054,-78.51003265,-76.86478424,-82.11210632
-86.11154938,-87.09259796,-100.9775772,-78.05590057,-76.81661987,-92.50178528,-100.7511978,-90.01612091,-109.9217682,-77.40195465,-77.63625336,-81.1506958
-89.15659332,-87.10242462,-100.6081696,-78.90302277,-76.33402252,-92.0036087,-99.74869537,-91.8964386,-109.7275162,-76.25907898,-76.18463898,-80.04180145
-86.66301727,-87.29738617,-100.7681274,-79.37282562,-75.83049774,-90.85105896,-99.57969666,-91.65142059,-106.5971603,-77.62439728,-75.04196167,-78.65962219
-84.37185669,-84.96717834,-101.0112076,-79.50113678,-78.00997925,-91.90011597,-100.2140656,-90.01155853,-105.8504028,-76.50978088,-73.86548615,-77.7502594
-84.11567688,-84.73641205,-98.96265411,-77.76541138,-79.019104,-92.88650513,-99.50082397,-89.95373535,-105.7084351,-75.84242249,-73.66113281,-78.24829865
-84.1933136,-84.52143097,-100.4661789,-77.96111298,-79.9831543,-94.48937988,-98.6129303,-89.39585876,-106.3395462,-73.68402863,-73.03207397,-77.65415192
-83.63806152,-85.69011688,-98.91066742,-77.12602997,-81.52307129,-95.89698029,-99.7430954,-89.12010193,-106.9786835,-72.86066437,-72.76005554,-77.11817932
-82.26225281,-85.11380768,-99.66429138,-78.27090454,-81.26927185,-97.25785828,-99.18080139,-90.63220978,-106.8549423,-71.33295441,-73.11362457,-76.1272049
-81.51612091,-84.9087677,-96.45706177,-76.47324371,-81.27000427,-94.39759064,-99.22373199,-91.43521118,-106.4286423,-70.65391541,-71.1788559,-75.19274902
-80.5475769,-83.37155914,-96.76629639,-76.28579712,-84.02406311,-94.06676483,-99.11663055,-91.44719696,-108.0077744,-71.3993454,-73.99241638,-74.07213593
-79.2541275,-85.17451477,-97.45925903,-77.0176239,-83.99642181,-94.30474854,-99.8680191,-92.48617554,-106.7294235,-70.32277679,-73.71662903,-73.12232971
-77.73712158,-85.43615723,-95.88744354,-75.92919159,-83.03855896,-95.41240692,-98.57691193,-92.40306091,-105.7768173,-69.53449249,-73.40722656,-72.46045685
-77.53544617,-84.76979828,-94.79299164,-76.20798492,-83.68565369,-96.67376709,-98.81908417,-92.55960083,-105.1205368,-65.89841461,-73.28407288,-70.57847595
-76.92816162,-86.3786087,-95.1650238,-75.05088043,-83.0888443,-96.89795685,-99.5823822,-91.93659973,-107.149765,-65.24285889,-71.41599274,-70.57501984
-75.82816315,-85.86595154,-94.27252197,-74.77275085,-81.89769745,-96.7117157,-99.03957367,-92.73638153,-109.7486649,-63.36536026,-70.53120422,-69.23840332
-75.44960022,-86.74963379,-94.41333008,-73.38134003,-82.2297287,-95.64726257,-99.53194427,-93.87648773,-110.5737457,-61.8381424,-70.03826141,-68.85638428
-75.89667511,-86.22536469,-94.70832825,-73.36251068,-81.57551575,-94.25952148,-97.9646225,-94.1423645,-111.3299866,-60.93928528,-69.33506012,-68.38233185
-74.88522339,-85.33016968,-94.83706665,-73.66239166,-80.67082214,-94.58062744,-94.82126617,-94.31012726,-112.3005219,-58.82701874,-69.41680908,-68.00087738
-73.87020874,-84.61309052,-95.27006531,-72.98970032,-80.25527191,-94.74196625,-94.14915466,-94.51985168,-111.9041977,-58.1950531,-69.53187561,-67.7408905
-72.9702301,-83.48783875,-94.64089966,-71.95812988,-80.568573,-95.07061005,-93.66689301,-94.61833191,-110.311348,-60.42802429,-68.25717163,-67.72557831
-71.82021332,-84.36345673,-95.68650055,-71.71886444,-80.06070709,-94.75617218,-92.21463013,-93.98757935,-109.5760956,-57.22483063,-68.2623291,-67.84289551
-70.71716309,-82.84340668,-95.47051239,-71.96631622,-82.28401184,-94.68702698,-91.94642639,-92.90026855,-111.6349335,-56.55773544,-66.94013214,-68.74615479
-70.32036591,-84.97812653,-94.35202026,-72.27541351,-82.13272858,-95.3191452,-91.0745163,-95.60360718,-113.7368927,-56.6795845,-66.27970886,-66.85428619
-69.66637421,-85.17613983,-96.21080017,-71.4520874,-82.20789337,-95.09175873,-90.7917099,-94.64989471,-113.1589966,-55.64028168,-65.90597534,-66.71179962
-67.90866089,-85.65716553,-96.23913574,-70.53012085,-80.50017548,-96.25094604,-90.07805634,-93.27320862,-112.9534225,-53.40629196,-65.81123352,-66.83403015
